Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key
198808,93646,213,202,143,01/01/2016,02/01/2016,163,61321,"""The Gu"" red shirt XML tag t-shirt (White) XXS",Each,72,18,15,1296,194.4,792,1490.4,72,0,11
198809,86258,0,0,16,01/01/2016,02/01/2016,19,61322,Tape dispenser (Red),Each,50,32,15,1600,240,750,1840,50,0,11
198810,57493,55,1,142,01/01/2016,02/01/2016,151,61323,"""The Gu"" red shirt XML tag t-shirt (White) XS",Each,60,18,15,1080,162,660,1242,60,0,11
198811,102390,296,202,27,01/01/2016,02/01/2016,152,61324,Black and orange glass with care despatch tape 48mmx75m,Each,120,3.7,15,444,66.6,252,510.6,120,0,11
198812,100612,0,0,36,01/01/2016,02/01/2016,158,61325,Shipping carton (Brown) 305x305x305mm,Each,125,3.5,15,437.5,65.63,200,503.13,125,0,11
198813,86258,0,0,134,01/01/2016,02/01/2016,150,61326,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",Each,36,18,15,648,97.2,360,745.2,36,0,11
198814,101705,24,1,140,01/01/2016,02/01/2016,129,61327,"""The Gu"" red shirt XML tag t-shirt (White) M",Each,24,18,15,432,64.8,264,496.8,24,0,11
198815,50814,0,0,196,01/01/2016,02/01/2016,163,61328,DBA joke mug - I will get you in order (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
198816,50814,0,0,139,01/01/2016,02/01/2016,163,61328,"""The Gu"" red shirt XML tag t-shirt (White) L",Each,108,18,15,1944,291.6,1188,2235.6,108,0,11
198817,50814,0,0,26,01/01/2016,02/01/2016,163,61328,Black and orange glass with care despatch tape  48mmx100m,Each,96,4.1,15,393.6,59.04,201.6,452.64,96,0,11
198818,50814,0,0,69,01/01/2016,02/01/2016,163,61328,Pack of 12 action figures (male),Packet,7,16,15,112,16.8,73.5,128.8,7,0,11
198819,62442,92,1,73,01/01/2016,02/01/2016,151,61329,Halloween skull mask (Gray) M,Each,48,18,15,864,129.6,144,993.6,48,0,11
198820,62442,92,1,213,01/01/2016,02/01/2016,151,61329,USB food flash drive - pizza slice,Each,6,32,15,192,28.8,120,220.8,6,0,11
198821,62442,92,1,114,01/01/2016,02/01/2016,151,61329,Alien officer hoodie (Black) 5XL,Each,7,35,15,245,36.75,126,281.75,7,0,11
198822,84465,293,202,63,01/01/2016,02/01/2016,161,61330,10 mm Double sided bubble wrap 20m,Each,50,30,15,1500,225,800,1725,50,0,11
198823,84465,293,202,110,01/01/2016,02/01/2016,161,61330,Superhero action jacket (Blue) S,Each,3,25,15,75,11.25,18,86.25,3,0,11
198824,84465,293,202,78,01/01/2016,02/01/2016,161,61330,Halloween zombie mask (Light Brown) S,Each,72,18,15,1296,194.4,-72,1490.4,72,0,11
198825,84465,293,202,104,01/01/2016,02/01/2016,161,61330,Superhero action jacket (Blue) 4XL,Each,5,34,15,170,25.5,50,195.5,5,0,11
198826,38288,244,202,213,01/01/2016,02/01/2016,151,61331,USB food flash drive - pizza slice,Each,10,3.2,15,32,4.8,-88,36.8,10,0,11
198827,38288,244,202,89,01/01/2016,02/01/2016,151,61331,Furry gorilla with big eyes slippers (Black) M,Each,2,32,15,64,9.6,48,73.6,2,0,11
198828,38288,244,202,44,01/01/2016,02/01/2016,151,61331,Bubblewrap dispenser (Red) 1.5m,Each,4,240,15,960,144,520,1104,4,0,11
198829,38288,244,202,42,01/01/2016,02/01/2016,151,61331,Shipping carton (Brown) 500x310x310mm,Each,75,2.55,15,191.25,28.69,108.75,219.94,75,0,11
198830,107623,0,0,205,01/01/2016,02/01/2016,158,61332,USB food flash drive - dessert 10 drive variety pack,Packet,9,240,15,2160,324,1363.5,2484,9,0,11
198831,107623,0,0,111,01/01/2016,02/01/2016,158,61332,Superhero action jacket (Blue) XS,Each,8,25,15,200,30,48,230,8,0,11
198832,107623,0,0,150,01/01/2016,02/01/2016,158,61332,Ride on toy sedan car (Green) 1/12 scale,Each,4,230,15,920,138,340,1058,4,0,11
198833,107623,0,0,217,01/01/2016,02/01/2016,158,61332,Office cube periscope (Black),Each,30,18.5,15,555,83.25,217.5,638.25,30,0,11
198834,107623,0,0,44,01/01/2016,02/01/2016,158,61332,Bubblewrap dispenser (Red) 1.5m,Each,5,240,15,1200,180,650,1380,5,0,11
198835,87288,75,1,146,01/01/2016,02/01/2016,152,61333,Ride on vintage American toy coupe (Black) 1/12 scale,Each,10,285,15,2850,427.5,1300,3277.5,10,0,11
198836,87288,75,1,189,01/01/2016,02/01/2016,152,61333,Developer joke mug - Oct 31 = Dec 25 (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
198837,87288,75,1,156,01/01/2016,02/01/2016,152,61333,RC vintage American toy coupe with remote control (Red) 1/50 scale,Each,6,30,15,180,27,90,207,6,0,11
198838,87288,75,1,181,01/01/2016,02/01/2016,152,61333,Developer joke mug - inheritance is the OO way to become wealthy (Black),Each,6,13,15,78,11.7,51,89.7,6,0,11
198839,87288,75,1,31,01/01/2016,02/01/2016,152,61333,Clear packaging tape 48mmx75m,Each,234,2.9,15,678.6,101.79,280.8,780.39,234,0,11
198840,85604,0,0,178,01/01/2016,02/01/2016,143,61334,Developer joke mug - understanding recursion requires understanding recursion (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
198841,85604,0,0,54,01/01/2016,02/01/2016,143,61334,10 mm Anti static bubble wrap (Blue) 20m,Each,70,42,15,2940,441,1330,3381,70,0,11
198842,94842,181,1,9,01/01/2016,02/01/2016,150,61335,Small 9mm replacement blades 9mm,Each,20,4.1,15,82,12.3,30,94.3,20,0,11
198843,94842,181,1,155,01/01/2016,02/01/2016,150,61335,RC vintage American toy coupe with remote control (Black) 1/50 scale,Each,6,30,15,180,27,90,207,6,0,11
198844,94842,181,1,176,01/01/2016,02/01/2016,150,61335,Developer joke mug - there are 10 types of people in the world (White),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
198845,94842,181,1,206,01/01/2016,02/01/2016,150,61335,USB food flash drive - fortune cookie,Each,8,32,15,256,38.4,160,294.4,8,0,11
198846,108881,0,0,34,01/01/2016,02/01/2016,163,61336,Shipping carton (Brown) 457x457x457mm,Each,25,2.1,15,52.5,7.88,25,60.38,25,0,11
198847,108881,0,0,52,01/01/2016,02/01/2016,163,61336,20 mm Anti static bubble wrap (Blue) 10m,Each,30,29,15,870,130.5,510,1000.5,30,0,11
198848,78006,0,0,159,01/01/2016,02/01/2016,155,61337,RC toy sedan car with remote control (Green) 1/50 scale,Each,4,25,15,100,15,50,115,4,0,11
198849,78006,0,0,73,01/01/2016,02/01/2016,155,61337,Halloween skull mask (Gray) M,Each,60,18,15,1080,162,180,1242,60,0,11
198850,108118,375,202,199,01/01/2016,02/01/2016,151,61338,DBA joke mug - you might be a DBA if (Black),Each,4,13,15,52,7.8,34,59.8,4,0,11
198851,108118,375,202,56,01/01/2016,02/01/2016,151,61338,32 mm Double sided bubble wrap 50m,Each,90,112,15,10080,1512,4770,11592,90,0,11
198852,77532,349,202,17,01/01/2016,02/01/2016,19,61339,Tape dispenser (Black),Each,90,32,15,2880,432,1350,3312,90,0,11
198853,77532,349,202,117,01/01/2016,02/01/2016,19,61339,Alien officer hoodie (Black) XXL,Each,2,35,15,70,10.5,36,80.5,2,0,11
198854,77532,349,202,32,01/01/2016,02/01/2016,19,61339,3 kg Courier post bag (White) 300x190x95mm,Each,50,0.66,15,33,4.95,15,37.95,50,0,11
198855,77532,349,202,135,01/01/2016,02/01/2016,19,61339,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",Each,108,18,15,1944,291.6,1080,2235.6,108,0,11
198856,81238,300,202,37,01/01/2016,02/01/2016,129,61340,Shipping carton (Brown) 480x270x320mm,Each,100,2.74,15,274,41.1,154,315.1,100,0,11
198857,81238,300,202,81,01/01/2016,02/01/2016,129,61340,Furry animal socks (Pink) M,Pair,72,5,15,360,54,252,414,72,0,11
198858,81238,300,202,75,01/01/2016,02/01/2016,129,61340,Halloween zombie mask (Light Brown) XL,Each,120,18,15,2160,324,-120,2484,120,0,11
198859,67402,14,1,107,01/01/2016,02/01/2016,150,61341,Superhero action jacket (Blue) XL,Each,10,30,15,300,45,80,345,10,0,11
198860,67402,14,1,204,01/01/2016,02/01/2016,150,61341,DBA joke mug - mind if I join you? (White),Each,10,13,15,130,19.5,85,149.5,10,0,11
198861,110203,250,202,81,01/01/2016,02/01/2016,19,61342,Furry animal socks (Pink) M,Pair,36,5,15,180,27,126,207,36,0,11
198862,110203,250,202,171,01/01/2016,02/01/2016,19,61342,Developer joke mug - this code was generated by a tool (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
198863,110203,250,202,152,01/01/2016,02/01/2016,19,61342,Ride on toy sedan car (Red) 1/12 scale,Each,10,230,15,2300,345,850,2645,10,0,11
198864,110203,250,202,77,01/01/2016,02/01/2016,19,61342,Halloween zombie mask (Light Brown) M,Each,108,18,15,1944,291.6,-108,2235.6,108,0,11
198865,110203,250,202,37,01/01/2016,02/01/2016,19,61342,Shipping carton (Brown) 480x270x320mm,Each,100,2.74,15,274,41.1,154,315.1,100,0,11
198866,109834,261,202,55,01/01/2016,02/01/2016,163,61343,10 mm Anti static bubble wrap (Blue) 10m,Each,10,26,15,260,39,90,299,10,0,11
198867,85693,96,1,58,01/01/2016,02/01/2016,161,61344,32 mm Double sided bubble wrap 10m,Each,80,22,15,1760,264,968,2024,80,0,11
198868,85693,96,1,189,01/01/2016,02/01/2016,161,61344,Developer joke mug - Oct 31 = Dec 25 (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
198869,85693,96,1,76,01/01/2016,02/01/2016,161,61344,Halloween zombie mask (Light Brown) L,Each,36,18,15,648,97.2,-36,745.2,36,0,11
198870,85693,96,1,79,01/01/2016,02/01/2016,161,61344,Furry animal socks (Pink) XL,Pair,72,5,15,360,54,252,414,72,0,11
198871,94333,0,0,154,01/01/2016,02/01/2016,152,61345,RC big wheel monster truck with remote control (Black) 1/50 scale,Each,3,45,15,135,20.25,88.5,155.25,3,0,11
198872,94333,0,0,31,01/01/2016,02/01/2016,152,61345,Clear packaging tape 48mmx75m,Each,104,2.9,15,301.6,45.24,124.8,346.84,104,0,11
198873,94333,0,0,169,01/01/2016,02/01/2016,152,61345,Developer joke mug - old C developers never die (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
198874,94333,0,0,92,01/01/2016,02/01/2016,152,61345,Plush shark slippers (Gray) L,Each,6,32,15,192,28.8,144,220.8,6,0,11
198875,96491,64,1,31,01/01/2016,02/01/2016,161,61346,Clear packaging tape 48mmx75m,Each,208,2.9,15,603.2,90.48,249.6,693.68,208,0,11
198876,96491,64,1,170,01/01/2016,02/01/2016,161,61346,Developer joke mug - old C developers never die (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
198877,96491,64,1,181,01/01/2016,02/01/2016,161,61346,Developer joke mug - inheritance is the OO way to become wealthy (Black),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
198878,96491,64,1,166,01/01/2016,02/01/2016,161,61346,IT joke mug - that behavior is by design (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
198879,100840,0,0,179,01/01/2016,02/01/2016,143,61347,"Developer joke mug - (hip, hip, array) (Black)",Each,6,13,15,78,11.7,51,89.7,6,0,11
198880,100840,0,0,215,01/01/2016,02/01/2016,143,61347,USB food flash drive - hamburger,Each,7,32,15,224,33.6,140,257.6,7,0,11
