Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key
60969,76733,122,1,16,01/01/2014,02/01/2014,101,18768,Tape dispenser (Red),Each,40,32,15,1280,192,600,1472,40,0,11
60970,57493,55,1,125,01/01/2014,02/01/2014,86,18769,"""The Gu"" red shirt XML tag t-shirt (Black) XL",Each,60,18,15,1080,162,630,1242,60,0,11
60971,44439,273,202,27,01/01/2014,02/01/2014,86,18770,Black and orange glass with care despatch tape 48mmx75m,Each,120,3.7,15,444,66.6,252,510.6,120,0,11
60972,80662,357,202,143,01/01/2014,02/01/2014,39,18771,"""The Gu"" red shirt XML tag t-shirt (White) XXS",Each,24,18,15,432,64.8,264,496.8,24,0,11
60973,77532,349,202,122,01/01/2014,02/01/2014,19,18772,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",Each,24,18,15,432,64.8,240,496.8,24,0,11
60974,72803,131,1,140,01/01/2014,02/01/2014,94,18773,"""The Gu"" red shirt XML tag t-shirt (White) M",Each,12,18,15,216,32.4,132,248.4,12,0,11
60975,82716,275,202,206,01/01/2014,02/01/2014,39,18774,USB food flash drive - fortune cookie,Each,3,32,15,96,14.4,60,110.4,3,0,11
60976,82716,275,202,76,01/01/2014,02/01/2014,39,18774,Halloween zombie mask (Light Brown) L,Each,72,18,15,1296,194.4,-72,1490.4,72,0,11
60977,52743,171,1,68,01/01/2014,02/01/2014,39,18775,Pack of 12 action figures (female),Packet,5,16,15,80,12,52.5,92,5,0,11
60978,52743,171,1,217,01/01/2014,02/01/2014,39,18775,Office cube periscope (Black),Each,80,18.5,15,1480,222,580,1702,80,0,11
60979,52743,171,1,11,01/01/2014,02/01/2014,39,18775,Packing knife with metal insert blade (Yellow) 9mm,Each,10,1.89,15,18.9,2.84,9.9,21.74,10,0,11
60980,52743,171,1,47,01/01/2014,02/01/2014,39,18775,32 mm Anti static bubble wrap (Blue) 50m,Each,30,105,15,3150,472.5,1740,3622.5,30,0,11
60981,84694,354,202,191,01/01/2014,02/01/2014,97,18776,DBA joke mug - two types of DBAs (Black),Each,2,13,15,26,3.9,17,29.9,2,0,11
60982,84694,354,202,81,01/01/2014,02/01/2014,97,18776,Furry animal socks (Pink) M,Pair,96,5,15,480,72,336,552,96,0,11
60983,84694,354,202,102,01/01/2014,02/01/2014,97,18776,Dinosaur battery-powered slippers (Green) S,Each,9,32,15,288,43.2,216,331.2,9,0,11
60984,83400,207,202,45,01/01/2014,02/01/2014,81,18777,Bubblewrap dispenser (Blue) 1.5m,Each,4,240,15,960,144,520,1104,4,0,11
60985,83400,207,202,213,01/01/2014,02/01/2014,81,18777,USB food flash drive - pizza slice,Each,2,32,15,64,9.6,40,73.6,2,0,11
60986,83400,207,202,138,01/01/2014,02/01/2014,81,18777,"""The Gu"" red shirt XML tag t-shirt (White) XL",Each,96,18,15,1728,259.2,1008,1987.2,96,0,11
60987,83400,207,202,72,01/01/2014,02/01/2014,81,18777,Halloween skull mask (Gray) L,Each,48,18,15,864,129.6,144,993.6,48,0,11
60988,83400,207,202,18,01/01/2014,02/01/2014,81,18777,Red and white urgent  heavy despatch tape  48mmx100m,Each,240,4.1,15,984,147.6,492,1131.6,240,0,11
60989,38845,0,0,34,01/01/2014,02/01/2014,19,18778,Shipping carton (Brown) 457x457x457mm,Each,150,2.1,15,315,47.25,150,362.25,150,0,11
60990,38845,0,0,81,01/01/2014,02/01/2014,19,18778,Furry animal socks (Pink) M,Pair,120,5,15,600,90,420,690,120,0,11
60991,38845,0,0,184,01/01/2014,02/01/2014,19,18778,Developer joke mug - when your hammer is C++ (White),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
60992,54379,0,0,32,01/01/2014,02/01/2014,101,18779,3 kg Courier post bag (White) 300x190x95mm,Each,25,0.66,15,16.5,2.48,7.5,18.98,25,0,11
60993,54379,0,0,71,01/01/2014,02/01/2014,101,18779,Halloween skull mask (Gray) XL,Each,84,18,15,1512,226.8,252,1738.8,84,0,11
60994,39504,218,202,105,01/01/2014,02/01/2014,81,18780,Superhero action jacket (Blue) 3XL,Each,6,34,15,204,30.6,60,234.6,6,0,11
60995,39504,218,202,103,01/01/2014,02/01/2014,81,18780,Superhero action jacket (Blue) 5XL,Each,4,34,15,136,20.4,40,156.4,4,0,11
60996,39504,218,202,90,01/01/2014,02/01/2014,81,18780,Furry gorilla with big eyes slippers (Black) S,Each,1,32,15,32,4.8,24,36.8,1,0,11
60997,39504,218,202,184,01/01/2014,02/01/2014,81,18780,Developer joke mug - when your hammer is C++ (White),Each,6,13,15,78,11.7,51,89.7,6,0,11
60998,67557,402,202,52,01/01/2014,02/01/2014,90,18781,20 mm Anti static bubble wrap (Blue) 10m,Each,80,29,15,2320,348,1360,2668,80,0,11
60999,67557,402,202,178,01/01/2014,02/01/2014,90,18781,Developer joke mug - understanding recursion requires understanding recursion (White),Each,6,13,15,78,11.7,51,89.7,6,0,11
61000,90580,179,1,197,01/01/2014,02/01/2014,101,18782,DBA joke mug - it depends (Black),Each,6,13,15,78,11.7,51,89.7,6,0,11
61001,90580,179,1,204,01/01/2014,02/01/2014,101,18782,DBA joke mug - mind if I join you? (White),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
61002,44333,0,0,179,01/01/2014,02/01/2014,97,18783,"Developer joke mug - (hip, hip, array) (Black)",Each,3,13,15,39,5.85,25.5,44.85,3,0,11
61003,44333,0,0,38,01/01/2014,02/01/2014,97,18783,Shipping carton (Brown) 457x279x279mm,Each,150,1.28,15,192,28.8,102,220.8,150,0,11
61004,44333,0,0,163,01/01/2014,02/01/2014,97,18783,IT joke mug - hardware: part of the computer that can be kicked (Black),Each,2,13,15,26,3.9,17,29.9,2,0,11
61005,44333,0,0,48,01/01/2014,02/01/2014,97,18783,32 mm Anti static bubble wrap (Blue) 20m,Each,70,48,15,3360,504,1750,3864,70,0,11
61006,78445,28,1,168,01/01/2014,02/01/2014,83,18784,IT joke mug - keyboard not found … press F1 to continue (White),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
61007,78445,28,1,171,01/01/2014,02/01/2014,83,18784,Developer joke mug - this code was generated by a tool (Black),Each,8,13,15,104,15.6,68,119.6,8,0,11
61008,78445,28,1,33,01/01/2014,02/01/2014,83,18784,Express post box 5kg (White) 350x280x130mm,Each,125,0.95,15,118.75,17.81,62.5,136.56,125,0,11
61009,85117,2,1,58,01/01/2014,02/01/2014,94,18785,32 mm Double sided bubble wrap 10m,Each,20,22,15,440,66,242,506,20,0,11
61010,85117,2,1,23,01/01/2014,02/01/2014,94,18785,Black and orange this way up despatch tape 48mmx75m,Each,168,3.7,15,621.6,93.24,336,714.84,168,0,11
61011,85117,2,1,87,01/01/2014,02/01/2014,94,18785,Furry gorilla with big eyes slippers (Black) XL,Each,9,32,15,288,43.2,211.5,331.2,9,0,11
61012,85117,2,1,169,01/01/2014,02/01/2014,94,18785,Developer joke mug - old C developers never die (Black),Each,4,13,15,52,7.8,34,59.8,4,0,11
61013,86228,86,1,63,01/01/2014,02/01/2014,19,18786,10 mm Double sided bubble wrap 20m,Each,70,30,15,2100,315,1120,2415,70,0,11
61014,86228,86,1,51,01/01/2014,02/01/2014,19,18786,20 mm Anti static bubble wrap (Blue) 20m,Each,20,45,15,900,135,480,1035,20,0,11
61015,56244,73,1,97,01/01/2014,02/01/2014,101,18787,Ogre battery-powered slippers (Green) M,Each,8,32,15,256,38.4,192,294.4,8,0,11
61016,56244,73,1,154,01/01/2014,02/01/2014,101,18787,RC big wheel monster truck with remote control (Black) 1/50 scale,Each,4,45,15,180,27,118,207,4,0,11
61017,56244,73,1,29,01/01/2014,02/01/2014,101,18787,Black and orange fragile despatch tape 48mmx75m,Each,72,3.7,15,266.4,39.96,136.8,306.36,72,0,11
61018,63386,58,1,107,01/01/2014,02/01/2014,90,18788,Superhero action jacket (Blue) XL,Each,1,30,15,30,4.5,8,34.5,1,0,11
61019,63386,58,1,196,01/01/2014,02/01/2014,90,18788,DBA joke mug - I will get you in order (White),Each,2,13,15,26,3.9,17,29.9,2,0,11
61020,63386,58,1,186,01/01/2014,02/01/2014,90,18788,Developer joke mug - fun was unexpected at this time (White),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
61021,76309,0,0,150,01/01/2014,02/01/2014,83,18789,Ride on toy sedan car (Green) 1/12 scale,Each,1,230,15,230,34.5,85,264.5,1,0,11
61022,76309,0,0,41,01/01/2014,02/01/2014,83,18789,Shipping carton (Brown) 229x229x229mm,Each,225,1.05,15,236.25,35.44,112.5,271.69,225,0,11
61023,76309,0,0,210,01/01/2014,02/01/2014,83,18789,USB food flash drive - chocolate bar,Each,3,32,15,96,14.4,60,110.4,3,0,11
61024,44751,320,202,211,01/01/2014,02/01/2014,94,18790,USB food flash drive - banana,Each,2,32,15,64,9.6,40,73.6,2,0,11
61025,44751,320,202,191,01/01/2014,02/01/2014,94,18790,DBA joke mug - two types of DBAs (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
61026,68739,0,0,168,01/01/2014,02/01/2014,83,18791,IT joke mug - keyboard not found … press F1 to continue (White),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
61027,68739,0,0,29,01/01/2014,02/01/2014,83,18791,Black and orange fragile despatch tape 48mmx75m,Each,72,3.7,15,266.4,39.96,136.8,306.36,72,0,11
61028,68739,0,0,208,01/01/2014,02/01/2014,83,18791,USB food flash drive - donut,Each,8,32,15,256,38.4,160,294.4,8,0,11
61029,68739,0,0,183,01/01/2014,02/01/2014,83,18791,Developer joke mug - when your hammer is C++ (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
61030,68739,0,0,165,01/01/2014,02/01/2014,83,18791,IT joke mug - that behavior is by design (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
61031,72561,106,1,45,01/01/2014,02/01/2014,101,18792,Bubblewrap dispenser (Blue) 1.5m,Each,1,240,15,240,36,130,276,1,0,11
61032,72561,106,1,155,01/01/2014,02/01/2014,101,18792,RC vintage American toy coupe with remote control (Black) 1/50 scale,Each,4,30,15,120,18,60,138,4,0,11
61033,72561,106,1,183,01/01/2014,02/01/2014,101,18792,Developer joke mug - when your hammer is C++ (Black),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
61034,72561,106,1,121,01/01/2014,02/01/2014,101,18792,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",Each,72,18,15,1296,194.4,720,1490.4,72,0,11
61035,72561,106,1,97,01/01/2014,02/01/2014,101,18792,Ogre battery-powered slippers (Green) M,Each,10,32,15,320,48,240,368,10,0,11
61036,82266,0,0,32,01/01/2014,02/01/2014,19,18793,3 kg Courier post bag (White) 300x190x95mm,Each,200,0.66,15,132,19.8,60,151.8,200,0,11
61037,82266,0,0,56,01/01/2014,02/01/2014,19,18793,32 mm Double sided bubble wrap 50m,Each,20,112,15,2240,336,1060,2576,20,0,11
61038,82266,0,0,18,01/01/2014,02/01/2014,19,18793,Red and white urgent  heavy despatch tape  48mmx100m,Each,72,4.1,15,295.2,44.28,147.6,339.48,72,0,11
